1. Principles of control theory,Define the term of internal environment and explain the importance of its control?,Define the terms homeostasis and homeostatic parameters. List at least 5 controlled functions and/or parameters in human.,Distinguish between guidance and control.,Describe the major forms of physiological controlling circuits.,Describe the parts of the neuronal reflex arch and explain their respective functions in control.,"Define negative and positive feedback control. Give examples for processes controlled by negative feedback, positive feedback.","Characterize endocrine, paracrine and autocrine humoral control based on the release site of the mediators and their path to the target cells.","Define ""behavioural control"" and explain its importance/necessity. Give examples!",How can the efficiency of control systems be expressed quantitatively?,Define the term servo-control mechanism.,,,,,,,
12. White blood cell types.,"Give the normal value of leukocyte count, and the sites where white blood cells are produced.","Describe the differential leucocyte count, starting with the method of staining.",Describe the main functions of white blood cell types.,Describe phagocytosis: the roles of the monocyte/macrophage system and the neutrophil granulocytes.,,Describe the types of lymphocytes and their major functions.,Define the concept of antigen and delineate the process of antigen presentation.,Describe the role and structure of immunoglobulins and their subtypes and functions.,Expound the main elements and the functions of the complement system.,Describe the morphological features of white blood cell types and enlist the normal values of the differential white blood cell count (%).,,,,,,,
13. The AB0 and Rh blood groups.,Describe the antigens and the circulating antibodies (Landsteiner-rules).,What is the prevalence of AB0 and Rh phenotypes?,Describe the process of the blood group determinations.,"Compatibility tests before blood transfusion (major and minor test, biological test).","Expound the process of Rh-sensitization (anti-D prophylaxis, erythroblastosis foetalis).",What is the definition of agglutination and hemolysis?,What is the consequence of hemolysis?,,,,,,,,,,
14. Primary hemostasis.,"Elaborate the role of primary hemostasis, enlist its major processes.",What is the difference between hemostasis and blood coagulation?,Compare the white and the red thrombus.,Describe the basic steps of thrombopoesis.,What is the normal value of thrombocyte count?,"Describe the most important morphological features of the thrombocytes, size, types of granules.","Explain the adhesion, aggregation and activation of thrombocytes.",Enlist the factors that activate thrombocytes and their origin (site of production).,What is the role of the endothelial cells in the regulation of hemostasis?,,,,,,,,
15. Secondary hemostasis: blood clotting (coagulation).2,"Define the coagulation factors, their nomenclature, site of synthesis, and the mechanism of their action.",Describe the extrinsic pathway.,Describe the intrinsic pathway and the contact phase.,Expound the common phase of blood coagulation and the formation of the stable fibrin mesh.,Explain the role of vitamin K in the synthesis of the so-called vitamin K-dependent coagulation factors.,"Define the process of clot retraction, define the term serum and compare its composition with the blood plasma.",Compare prothrombin time and coagulation time.,"Define INR, its calculation and significance.",,,,,,,,,
16. Fibrinolysis. Inhibition of clotting in vitro and in vivo.,Expound the activation and regulation of the plasmin system.,Describe the following systems and their regulation: thrombomodulin/protein C/protein S; heparin/antithrombin.,Enlist substances that can be used to inhibit blood coagulation in vitro and define their mechanism of action.,Enlist substances and drugs that can be used in vivo to inhibit thrombocyte activation and blood coagulation or to facilitate fibrinolysis ,,,,,,,,,,,,,
17. Neurotransmission.,Characterize electric synapses including the description of the molecular structure of gap junction operating in these synapses.,Compare transmission between electric and chemical synapses.,Describe the consecutive events of chemical neurotransmission.,"Describe the ion currents involved in the development of the following local potentials: excitatory postsynaptic potential (EPSP), inhibitory postsynaptic potential (IPSP), end plate potential (EPP).","Describe the temporal and spatial summation of postsynaptic potentials (EPSPs and IPSPs), and their role to trigger an action potential.",Describe the common features of classical neurotransmitters.,Group the classical and non-classical neurotransmitters based on their chemical structure.,"Characterize the neurotransmitters in bold based on their synthesis, inactivation, receptors and signal transduction mechanisms.",Define the terms ionotropic and metabotropic neurotransmitter receptors.,Describe the role of intraneuronal (axonal) transport mechanisms in the maintenance of interneuronal communication.,Nonsynaptic neurotransmission. Volume transmission.,,,,,,
18. The peripheral nervous system: primary sensory neurons.,"Make a schematic figure of a primary sensory neuron and indicate its major parts: peripheral axon, central axon, cell body.",Give the anatomical location of primary sensory neurons.,"On the schematic figure of the primary sensory neuron indicate the most likely sites of the generation of the receptor potential, the propagation of the action potential and the release of neurotransmitters.","Define the terms: receptor sensitivity, receptor specificity (modality), and receptive field.",Group the somatosensory receptors based on the origin of the sensory stimulus and on their modality.,"Describe the steps of sensory signal transduction processes in mechanoreceptors, thermoreceptors and nociceptors, and how the action potential is generated.",Give the important neurotransmitters released by primary sensory neurons.,Define the terms slow-adapting and fast-adapting receptors.,Explain how the axonal diameter and myelinisation determines the action potential propagation in sensory axons.,"Group the sensory axons according to the Lloyd-Hunt, and the Erlanger-Gasser classification.","Define the term secondary sensory cell, and describe its connection to the primary sensory neuron. Give at least one example.",,,,,,
19. The parasympathetic division of the autonomic nervous system.,"Characterize the structural organization of the parasympathethic nervous system: give the location of the cell bodies and axons of preganglionic neurons, also of the cell bodies and axons of ganglion cells.",Classify the axons of the autonomic nervous system found in peripheral nerves according to the Erlanger-Gasser classification.,Characterize the synaptic connection between the preganglionic axon and the ganglion cell.,Define the term autonomic ground plexus.,Describe the structure and function of axon varicosities.,"Describe the biosynthesis, synaptic release, and elimination of acetyl-choline.",Describe the effects of acetyl-choline of the receptors of target cells.,Give examples of parasympathethic effects mediated by cholinergic receptors.,"Give further neurotransmitters released by parasympathetic nerves, and give examples of parasympathetic effects mediated by such neurotransmitters.",Define the term autonomic tone.,,,,,,,
20. The sympathetic division of the autonomic nervous system. The adrenal medulla.,"Characterize the structural organization of the sympathethic nervous system: give the location of the cell bodies and axons of preganglionic neurons, also of the cell bodies and axons of ganglion cells.","The sympathetic adrenergic system: describe the biosynthesis of noradrenaline and adrenaline, the synaptic release and elimination of noradrenaline.",List the adrenergic receptor types found on target cells along with the respective signal transduction pathways.,Give examples of adrenergic effects mediated by each receptor type.,Describe the anatomical structure of the adrenal medulla and the regulation of hormone release.,"Describe the transport of catecholamines in the circulation, their metabolism and excretion.","Give examples of sympathetic cholinergic effects, and also of non-adrenergic?non-cholinergic (NANC) sympathetic effects.",,,,,,,,,,
"21. The peripheral nervous system: motor neurons, neuromuscular junction.","Make a schematic figure of a motor neuron, and indicate the following parts: dendrite, axon, axon hillock, cell body.",Give the anatomical locations of the cell bodies and classify the motor axons found in peripheral nerves according to the Erlanger-Gasser classification.,"Using the schematic figure, indicate the sites of the generation of IPSP, EPSP, the action potential and the release of neurotransmitter.","Make a schematic figure of the neuromuscular junction found in striated muscles, and indicate the consecutive steps of neuromuscular transmission.",Compare the differences between the end plate potential (EPP) and the muscle fiber's action potential.,"List the inhibitors of the neuromuscular junction, and give their targets and mechanisms of actions.",Define the term motor unit. Describe motor recruitment during various levels of muscle activity.,,,,,,,,,,
"22. Skeletal muscle: structure, electromechanical coupling, the biochemistry of contraction.",Describe and name the parts of the skeletal muscle at different anatomical levels.,Characterize the thick and thin filaments and enlist their proteins.,"Draw a myosin molecule and show its subunits, define their functions.",Describe the steps of the electromechanic coupling in striated muscle.,"Define and explain the function of the following terms: sarcolemma, T-tubules, sarcoplasmic reticulum, troponin-tropomyosin, and calcium ions.","Describe the cycles of actin-myosin bridges and their binding, and explain how it results in muscle contraction (the sliding filament model).","Summarize the role of ATP in muscle contraction and relaxation. What is the mechanism of rigor mortis (""stiffness of death"")?",,,,,,,,,,
23. Skeletal muscle: the mechanics and energetics of muscle contraction.,"Define and compare the isometric, isotonic, and auxotonic contractions.","Explain the connection between preload, afterload, and total load during isotonic contraction.","Draw the muscle length - tension diagram, describe the active, passive and total tension, and their molecular mechanism.",Explain the relationship between the length of the sarcomere and the shape of the active tension curve (bell shaped curve).,Explain the relationship between force (load) and shortening velocity. Define the muscle power.,"Characterize the difference between muscle twitch and tetanus (complete and incomplete), and explain the contraction summation.",Explain how muscle twitch turns into tetanus by the increasing of the stimulation frequency.,Define the term of muscle fatigue and enlist intracellular processes that play a role in fatigue.,"Compare the three types of skeletal muscle in a table with a special reference to their structure, energy sources, and function.","Describe the energy sources of the working muscle, and rank them according to the speed and amount of ATP production during the contraction.",,,,,,,
24. Smooth muscle physiology.,Define the terms and compare single-unit and multi-unit smooth muscles.,Describe the intracellular pathways that control contraction and relaxation in smooth muscle.,Distinguish between electromechanical coupling and pharmacomechanical coupling.,"Describe the differences in actomyosin regulation of, respectively, smooth and skeletal muscle and indicate the structural similarities in their respective contractile units.","Explain the sources, movements and roles of Ca2+ in smooth muscle during contraction and relaxation.",Describe the mechanisms responsible for myofilament Ca2+ sensitization and desensitization.,Explain why smooth muscles can develop and maintain force with a much lower rate of ATP hydrolysis than skeletal muscle.,Distinguish between muscle relaxation from the contracted state and the phenomenon of stress relaxation and give examples of each process.,,,,,,,,,
25. Respiratory mechanics 1: Static mechanics of the lung and the chest.,"Draw a normal spirogram, indicating the various lung volumes.",Explain how the different lung capacities are determined by the summation of lung volumes.,Explain which lung volumes and capacities CANNOT be determined directly with a spirometer.,"Draw the static transpulmonary pressure - lung volume curve both during inflation from the residual volume to total lung capacity, and during deflation.","Define lung compliance, and give two examples of lung pathologies where lung compliance is smaller or higher than the normal value, respectively.","Draw the transmural pressure ? volume (compliance diagram) of the lung, the chest wall, and the combined respiratory system (lung+chest) plotted in the same graph. Show and explain the  significance of the equilibrium points of the diagram.","Enlist the factors determining total lung capacity, functional residual capacity and residual volume.",Describe the forces responsible for the development of negative pleural pressure.,Describe the consequence of pneumothorax.,"Define surface tension, and describe its effect on pulmonary mechanics, including the effect on alveolar size and the role of surfactant.","Define the term atelectasis, and the role of surfactant in its prevention.",What does the term mean: alveolar interdependence?,Describe the source and the composition of surfactant.,Explain the regulation of surfactant secretion.,,,
26. Respiratory mechanics 2: Ventilation.,"Draw a diagram showing how pleural pressure, alveolar pressure, air flow, and long volume changes during the respiratory cycle. Indicate the beginning and the end of inspiration, and the end of expiration.",Describe how the pressure gradient between intrapulmonal and athmospheric pressure drives air movement in and out of the lung.,Describe the factors constituting dynamic lung resistance against lung volume changes.,"Describe based on the segmental differences in individual airway diameters, total cross sectional area of parallel coupled airways, and the occurrence of turbulent as well as laminar flow, WHY the upper airways and the great bronchi contribute principally to airway resistance.","Define and explain the following terms: anatomic and physiologic dead space, respiratory rate, respiratory minute volume, dead space ventilation, alveolar ventilation.",Describe the method to determine physiologic dead space.,"Draw a spirogram of a forced expiratory effort. Indicate the forced vital capacity (FVC), the forced expiratory volume in 1 second (FEV1).",,"Define the Tiffeneau-index (FEV1/VC). Define peak expiratory flow (PEF), and forced expiratory flow 25-75 (FEF25-75; between 25 and 75% of FVC).",,,,,,,,
27. Pulmonary gas exchange.,Explain the concept of partial pressure of gases.,"Give the normal values of partial pressures for oxygen and carbon dioxide in inspired air, alveolar air, arterial blood and mixed (central) venous blood?","Enlist the factors determining diffusion between the alveolar gas and the capillary blood, apply Ficks's law of diffusion. Define diffusion-limited, and perfusion-limited gas transport.",Define the term diffusion capacity.,Explain the relationship between alveolar ventilation and arterial pO2 or pCO2.,"Define the terms hypoventilation, hyperventilation.","Describe the dynamics of oxygen transport from the alveolus to the capillary blood, define capillary reserve.","Give the normal value of total ventilation/perfusion quotient (V/Q) in healthy lungs, and explain how local V/Q is modified by the vertical distribution of ventilation and perfusion.",,,,,,,,,
28. Oxygen transport in blood.,Describe the chemical structure of the hemoglobin molecule., Enlist and define special/pathological hemoglobin forms and give their functional characteristics.,Draw the hemoglobin oxygen-dissociation curve.,"Explain the connections between pO2, hemoglobin-saturation.",Define P50 and give its normal value.,Compare the contribution of hemoglobin-bound and physically dissolved O2 to blood oxygen content.,Give the oxygen binding capacity of hemoglobin (Hufner-number).,"Describe how the oxyhemoglobin dissociation curve is affected by changes in pCO2 (Bohr-effect), plasma pH and red blood cell 2,3-DPG concentration. Explain the functional significance of these changes.",Give 5 causes of hypoxia.,Define the term cyanosis.,"Explain how the oxyhemoglobin dissociation curve, arterial pO2 and oxygen saturation are affected by anemia and carbon-monoxide poisoning, respectively.",,,,,,
29. Carbon-dioxide transport in blood.,Describe the CO2 transport mechanisms in blood and the percentage contribution of these mechanisms to transport.,"Name the critical enzyme required for CO2-transport, and its cellular location.",Explain the importance of chloride-shift (Hamburger-shift) in the blood CO2-transport.,Give the normal values for the dissolved CO2 concentration as well as the plasma bicarbonate levels both in arterial and in mixed venous blood.,Explain the effect of hemoglobin oxygen dissociation on the uptake of CO2 (the Haldane effect).,,,,,,,,,,,,
"30. The rhythmogenesis of breathing, ventilatory reflexes elicited from the lung.","List the muscles used in quiet breathing, and the additional muscles involved in forced respiration.",Give the anatomical localization of the motoneurons involved in the breathing effort.,Describe the phases of motoneuron activity during the respiratory cycle.,Describe the brainstem regions involved in the rhythmogenesis and regulation of breathing movements.,List and characterize three reflexes originating from pulmonary receptors controlling tidal volume and respiratory rate. Describe the respective reflex arches.,"Define the following terms: eupnoe, hypopnoe, hyperpnoe, dyspnoe.","Define the following breathing patterns: Kussmaul breathing, Cheyne-Stokes breathing, apneusia, gasping.",,,,,,,,,,
31. The chemical control of ventilation.,"Describe the anatomical locations of chemoreceptors monitoring the blood pO2, pCO2, and pH levels, explain their respective importance for detecting the changes in blood gases.",Describe the structure and function of peripheral chemoreceptors.,Describe the function of central chemoreceptors.,"Explain how alveolar ventilation is changed by changes in pO2, pCO2, or by combined changes.",When does CO2 narcosis develop?,Describe the respiratory drive following the adaptation of central chemoreceptors.,Explain the consequence if oxygen is given to this patient.,"Describe the changes in alveolar ventilation 1. immediately after traveling to high elevation, 2. after 2 weeks of acclimation at this high elevation, and 3. immediately after returning to sea level.","Describe the importance of feed-forward control of ventilation during physical exercise, and its effect on arterial pCO2, pO2, and pH values.",,,,,,,,
32. Biology of the airways. Metabolic and endocrine functions of the lung.,Describe the function of the nasal turbinates.,Characterize the sneezing and the coughing reflex.,Define the term mucociliary clearance.,"Protection of the lung and the airways: describe functions alveolar macrophages, Clara-cells, tissue mast cells.",Describe the control of airway diameter and secretory activity: Define the term bronchomotor tone. Describe the effects mediated by adrenergic receptors.,Describe the clearance of vasoactive substances by the pulmonary circulation.,Describe the importance of pulmonary vascular endothelium in the production of angiotensin II.,,,,,,,,,,
33. Hemodynamics: basic biophysical principles,"Define and compare flow and velocity of flow in terms of concept and unit. Understand the relationship between flow, velocity, and cross-sectional area.",Know the factors that determine the total energy of the flowing blood (Bernoulli's law).,"Understand the relationship between pressure gradient, flow, and resistance (OhmÅEEEEfs law) and be able to calculate for one variable if the other two are known.",Define resistance and conductance. Understand the effects of adding resistance in series vs in parallel on total resistance and flow.,Explain the factors determining hydraulic resistance using the Hagen-PoiseuilleÅEEEEfs law. ,Explain the deviations from Hagen-PoiseuilleÅEEEEfs law predictions that occur in the circulatory system (blood and blood vessels),Explain the terms laminar and turbulent flow.,List the factors that shift laminar flow to turbulent flow.,Reynolds number.,"Describe the relationship between turbulent flow with the audible events, such as murmurs and bruits.",,,,,,,
34. Hemorheology,"Explain and give the units of the followings: shear stress, shear rate, viscosity.","Give NewtonÅEEEEfs law of viscosity, and define Newtonian and non-Newtonian fluids.",The anomalous viscosity of blood: which factors affect blood viscosity?,How will the apparent blood viscosity change in microvessels?,Describe the Fahraus-Lindqvist-effect and its mechanisms.,Describe the mechanisms of shear thinning .,Describe the dependence of the structural viscosity on the composition of plasma albumine and globuline fractions.,Characterize the flow adaptations of red blood cells.,,,,,,,,,
"35. Cardiac muscle: structural and functional characterization, regulation of contractile force","Compare the cardiac and the skeletal muscle with respect to: fiber size, electrical connections between cells, and arrangement of myofilaments. Based on ion permeability and electrical resistance describe the role of gap junctions in creating a functional syncytium.",Contrast the duration of the action potential and the refractory period in a cardiac muscle and skeletal muscle.,"Sketch the temporal relationship between an action potential and the resulting contraction (twitch) in a cardiac muscle cell and in a skeletal muscle fiber. Based on this graph, explain why cardiac muscle cannot remain in a state of sustained (tetanic) contraction.",State the steps in excitation-contraction coupling in cardiac muscle.,"Outline the sequence of events that occurs between the initiation of an action potential in a cardiac muscle cell, the resulting contraction and then relaxation of that cell.",Provide specific details about the source of intracellular Ca2+ increase and the special role of Ca2+ in the modulation of contraction force and relaxation of cardiac muscle.,"How do the following factors increase the power of contraction (positive inotropy) in the cardiac muscle: increasing the length of muscle fibres (heterometric control), partial inhibition of the Na+-K+- ATPase and increasing the extracellular Ca2+?",Explain the positive lusitropic effect induced by stimulation of the adrenergic receptors?,,,,,,,,,
36. Cardiac cycle. The jugular pulse.,"Draw, in temporal relationship, the pressure changes in the left atrium, ventricle and in the aorta, the volume changes of the left ventricle, and the valve positions during the mechanical cardiac cycle.",Identify the phases of the cardiac cycle on the graph.,"Define stroke volume, cardiac output, cardiac index, and ejection fraction and give their normal values.",Know the factors that contribute to the formation of cardiac sounds.,"Describe the timing, causes and location of the 1st and 2nd heart sounds.",Explain the push-pull characteristic of the cardiac pump and the valve-plane mechanism.,Explain the pressure changes in the right atrium during the cardiac cycle and how these changes contribute to the jugular pulse.,,,,,,,,,,
"37. Preaload and afterload, the Frank-Starling law of the heart.",Draw and describe the length-tension relationship in a single cardiac cell.,"Correlate the cellular characteristics of length, tension, and velocity of shortening with the intact ventricle characteristics of end diastolic volume, pressure, and dP/dt.",Draw the ventricular function curve into the volumepressure graph.,Define preload.,"Why can end-diastolic ventricular pressure, atrial pressure and central venous pressure be used for estimating the preload, and why is the ventricular pressure the most reliable method for the estimation?",Define afterload.,Why can systolic arterial pressure be used for estimating the afterload?,Describe the Starling heart-lung preparation and use it to demonstrate how a denervated (transplanted) heart can adapt to changes in the preload and afterload.,Phrase the Frank-Starling law of the heart.,What is the role of the Frank-Starling law of the heart in keeping the cardiac output of the left and right ventricles equal?,,,,,,,
38. Cardiac muscle: cellular electrophysiology,"Sketch a typical action potential in a ventricular muscle and a pacemaker cell, labeling both the voltage and time axes accurately.",Describe how ionic currents contribute to the four phases of the cardiac action potential. Use this information to explain differences in the shapes of action potentials recorded from different cardiac cells.,Describe the ion channels that contribute to each phase of the cardiac action potential.,How do differences in channel population influence the shape of the action potential in the nodal tissue and in the working myocardium?,Explain what accounts for the long duration of the cardiac action potential and the resultant long refractory period.,What is the advantage of the long plateau of the cardiac action potential and the long refractory period?,Explain the ionic mechanism of pacemaker automacy and rhythmicity.,"Beginning in the SA node, diagram the normal sequence of cardiac activation (depolarization) and the role played by the specialized conducting system.","Explain why the AV node-His bundle is the only normal electrical pathway between the atria and the ventricles, and explain the functional significance of the slow conduction through the AV node.",Contrast the sympathetic and parasympathetic nervous system influence on heart rate and cardiac excitation in general.,"Define the terms: positive and negative chronotropy and dromotropy, and explain the ionic background of the effects in the SA node and in the AV node.",How does hyperkalaemia affect the excitability of the cardiac muscle?,,,,,
"39. Electrocardiography, other methods for the assessment of cardiac function.",Define the term electric dipole. Describe the characteristics that define a vector. ,Describe how dipoles generated by the heart produce the waveforms of the ECG.,Describe the electrode conventions used by clinicians to standardize ECG recordings.,Know the electrode placements and polarities for the 12 leads.,"Name the parts of a typical bipolar (Lead II) ECG tracing and explain the relationship between each of the waves, intervals, and segments in relation to the electrical state of the heart.",Define mean electrical vector (axis) of the heart and give the normal range. ,Determine the mean electrical axis from knowledge of the magnitude of the QRS complex in the standard limb leads.,Cardiac catheterization.,Echocardiography and other imaging methods.,,,,,,,,
40. Cardiac work and metabolism. The coronary circulation,Echocardiography and other imaging methods.,"Characterize the substrates supplying the energy metabolism of cardiac muscle fibers, and describe quantitatively the contribution of the cardiac muscle to resting oxygen consumption.",Describe the phasic flow of blood to the ventricular myocardium through an entire cardiac cycle.,Contrast this cyclic variation in myocardial flow a) in the walls of the right and left ventricles and b) in the subendocardium and the subepicardum of the left ventricle.,"Give the normal values of oxygen extraction and arteriovenous oxygen difference in the coronary circulation, and explain how these values are unique when compared with other body organs.","Explain the mechanism whereby coronary blood flow is coupled to myocardial workload, and identify the humoral mechanisms that cause coronary vasodilation and increased blood flow.",Explain how sympathethic stimulation alters cardiac activity and coronary vascular resistance.,Identify the importance of direct and indirect sympathethic nervous system effects in determining coronary blood flow during exercise?,,,,,,,,,
41. Hemodynamics: the functional categorization of blood vessels,Explain the concept of transmural pressure of blood vessels.,"Explain the concept of vascular compliance, give the formula for its determination.",Which two main factors determine vascular compliance?,Characterize the different vascular segments based on their compliance.,Explain the concept of critical closing pressure.,"Describe the relationship among wall tension, transmural pressure, vessel radius and wall thickness using the equation of LaplaceÅfs law.","Based on the relationship, in which vessel segment is the rupture of the vessel due to high wall tension most likely?",Give the definitions of hydraulic resistance and conductance.,Explain the effects of adding resistance in series vs. in parallel on total resistance.,"Characterize the contribution of arteries, arterioles, capillaries, venules, and veins to peripheral vascular resistance.","Contrast blood pressure, cross sectional area, flow velocity, and blood volume in these vascular segments.",,,,,,
42. The function of the aorta and the arteries,Describe the invasive and non-invasive methods of arterial blood pressure determinations.,Draw the blood pressure curve of the aorta.,"Give the definitions and normal values of arterial systolic, diastolic, mean, and pulse pressures.",Describe the Windkessel function of the aorta.,"Describe the effects of changes in a) stroke volume, b) arterial compliance, and c) total peripheral resistance, on arterial systolic, diastolic, mean, and pulse pressure values.","Describe the propagation of the pressure pulse, the changes in the shape of the pressure waveform from the aorta to the peripheral arteries.",Contrast the pressure pulse with the flow pulse.,Describe the arterial pulse qualities assessed with palpation.,,,,,,,,,
